Loại nhà,Vị trí,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số phòng tắm,Trình trạng pháp lý,Nội thất,Giá,Address
Nhà hẻm,Quận Gò Vấp,59,4,6,Tây,Tây,3,5,5,Have certificate,Basic,7.3,"148//, Đường Số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),40.2,4,4,Tây - Bắc,Tây - Bắc,3,3,2,Have certificate,Full,4.5,"Đường Số 5, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,76,4,10,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.5,"Dự án Sài Gòn Mới, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),83,5,3,Nam,Nam,2,5,5,Have certificate,Basic,6.9,"Thạnh Mỹ Lợi, Số 68, Đường Thạnh Mỹ Lợi, Phường  Thạnh Mỹ Lợi, Quận 2 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,50,4,5,Tây - Bắc,Tây - Bắc,4,5,6,Have certificate,Full,9.3,"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Hồ Chí Minh"
Nhà hẻm,Huyện Hóc Môn,52,4,5,Nam,Nam,2,2,2,Have certificate,Basic,1.68,"Đường Song Hành, Xã Tân Hiệp, Huyện Hóc Môn, Hồ Chí Minh"
Chung cư,Quận 3,29,4.6,4,Tây,Tây,1,2,2,Have certificate,Basic,3.5,"Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,75,4,6,Đông - Bắc,Đông - Bắc,2,3,3,Have certificate,Full,6.5,"Đường Lê Văn Thọ, Phường 16, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Tân Bình,59,4.6,8,Đông - Nam,Đông - Nam,4,5,6,Have certificate,Full,10,"254, Đường Âu Cơ, Phường 9, Quận Tân Bình, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,72.5,4,6,Nam,Nam,4,4,5,Have certificate,Basic,7.4,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh"
Biệt thự,Quận 7,102.6,7,3,Đông,Đông,1,2,2,Have certificate,Full,5.6,"Đường Huỳnh Tấn Phát, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,42,4.8,4,Đông,Đông,3,3,4,Have certificate,Full,5.6,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Hồ Chí Minh"
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),100,5,5,Đông - Nam,Đông - Nam,4,7,7,Have certificate,Basic,9.5,"Đường 8, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 11,44,4,6,Tây - Bắc,Tây - Bắc,5,6,4,Have certificate,Full,8,"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh"
Nhà hẻm,Quận Phú Nhuận,43,4.3,5,Đông - Nam,Đông - Nam,4,3,4,Have certificate,Full,8.6,"Đường Phan Xích Long, Phường 3, Quận Phú Nhuận, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,80,4,12,Tây - Nam,Tây - Nam,3,4,4,Have certificate,Full,5,"Đường Thạnh Lộc 44, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,81.6,4.1,12,Bắc,Bắc,2,2,2,Have certificate,Basic,8.5,"Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),64,4,6,Bắc,Bắc,2,2,2,Have certificate,Full,5.2,"Đường Hồ Bá Phấn, Phường Phước Long A, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận 7,82.4,6,4,Tây,Tây,2,4,4,Have certificate,Full,6.35,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,84.5,5,7,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,9.4,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),93,7.8,5,Nam,Nam,2,4,3,Have certificate,Full,3.9,"Hẻm số 5, Đường Lò Lu, Phường Trường Thạnh, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,57.7,4,6,Tây - Bắc,Tây - Bắc,3,4,5,Have certificate,Basic,7.49,"Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh"
Biệt thự,Quận 9 (TP. Thủ Đức),100,15,30,Nam,Nam,1,2,2,Sale contract,Full,4.6,"Dự án The Beverly Solari  - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Thạnh,64.6,3,10,Bắc,Bắc,4,5,4,Have certificate,Basic,7,"Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,80,5.3,6,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,8.3,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),80,6,6,Đông - Bắc,Đông - Nam,3,3,2,Sale contract,Basic,5.3,"Dự án Sim City, Đường Lò Lu, Phường Trường Thạnh, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,40,4,2,Nam,Nam,2,2,2,Have certificate,Full,4.35,"Đường D5, Phường 25, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),70,5,6,Đông - Nam,Đông - Nam,4,4,4,Have certificate,Full,6.8,"Đường Số 48, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),52,3.8,4,Đông - Nam,Đông - Nam,1,4,4,Have certificate,Basic,2.6,"Phường Linh Xuân, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận Bình Tân,37,3.7,7,Bắc,Bắc,3,5,3,Have certificate,Full,2.78,"Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận 7,51,4,4,Tây - Nam,Tây - Nam,2,3,2,Have certificate,Full,6.35,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
Nhà hẻm,Huyện Hóc Môn,48,8,2.5,Tây - Bắc,Tây - Bắc,1,2,1,Have certificate,Full,2.05,"Đường Đặng Thúc Vịnh, Xã  Đông Thạnh, Huyện Hóc Môn, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),85.7,5.4,7,Tây,Tây,1,3,3,Have certificate,Full,8.5,"Đường 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,55.9,4.3,6,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,6.5,"1979, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),56,4,6,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Basic,7.3,"Đường 10, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 7,56,4,50,Đông,Đông,2,2,3,Have certificate,Full,5.2,"Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh"
Chung cư,Quận 12,25,3.5,3,Đông - Bắc,Đông - Bắc,3,2,2,Have certificate,Basic,2.65,"Hẻm 103//, Đường Tân Thới Nhất 2, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 12,46,20,5,Tây - Bắc,Tây - Bắc,3,4,3,Have certificate,Full,4.45,"Đường Nguyễn Thị Đặng, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,60,5,5,Đông,Đông,4,4,4,Have certificate,Full,6.3,"Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Chung cư,Quận Tân Phú,24,3,4,Nam,Nam,2,2,2,Have certificate,Basic,3,"101/26/, Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),89,5.1,10,Tây - Nam,Tây - Nam,4,4,5,Have certificate,Full,8.6,"Đường 8, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,90,5,6,Tây,Tây,1,3,2,Have certificate,Basic,7.5,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Biệt thự,Quận 12,282.7,11,50,Bắc,Bắc,1,4,2,Have certificate,Basic,9.5,"Đường Quốc lộ 1A, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Phú Nhuận,44,6,4.5,Bắc,Bắc,5,4,3,Have certificate,Full,10,"Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh"
Nhà hẻm,Quận 12,49.5,4.5,12,Tây - Bắc,Tây - Bắc,3,4,3,Have certificate,Basic,4.65,"Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Chung cư,Quận Phú Nhuận,22,2.8,3,Tây - Nam,Tây - Nam,3,2,3,Have certificate,Basic,3.5,"Đường Cô Giang, Phường 2, Quận Phú Nhuận, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,97,5.2,8,Bắc,Bắc,4,4,5,Have certificate,Full,6.7,"Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận 12,41.6,4,4,Bắc,Bắc,2,2,2,Have certificate,Full,3.38,"Đường Hiệp Thành 17, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,40,7,7,Đông,Đông,2,3,3,Have certificate,Full,2.48,"Đường Liên Khu 5-6, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh"
Chung cư,Quận 3,36,3.6,6,Tây - Nam,Tây - Nam,6,5,4,Have certificate,Full,10,"Đường Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh"
Chung cư,Quận Phú Nhuận,37,9,5,Tây - Bắc,Tây - Bắc,4,3,3,Have certificate,Full,6.85,"Đường Trần Huy Liệu, Phường 8, Quận Phú Nhuận, Hồ Chí Minh"
Nhà hẻm,Quận Tân Bình,40,8,3,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Full,3.6,"Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),54.1,6.25,7,Đông,Đông,3,4,3,Have certificate,Full,7.2,"Đường Võ Văn Ngân, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,54,4.5,8,Đông,Đông,3,4,5,Have certificate,Full,8.3,"Đường 8A, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận 12,57,4.2,6,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Basic,4.5,"Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
Chung cư,Quận 12,31,3.2,8,Nam,Nam,2,2,2,Have certificate,Full,2.95,"Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
Chung cư,Huyện Nhà Bè,32,4,4,Đông - Nam,Đông - Nam,3,4,3,Have certificate,Full,3.6,"2174, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận 12,53.4,4,5,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Basic,3.89,"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 12,56,4,10,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,5.85,"Đường Thạnh Lộc 44, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,40,4,7,Tây,Tây,3,5,3,Have certificate,Full,2.68,"Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh."
Nhà hẻm,Quận Gò Vấp,46,4.6,6,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.99,"Đường Quang Trung, Phường 12, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,52,4,5,Đông,Đông,2,2,2,Have certificate,Full,5.6,"Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,67,4,4,Nam,Nam,3,4,3,Have certificate,Full,5.85,"Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Chung cư,Quận 9 (TP. Thủ Đức),36,3,3,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Full,2.65,"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,58,4.8,8,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Full,7.8,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh"
Chung cư,Quận Bình Thạnh,25,1.5,2,Bắc,Bắc,4,2,2,Have certificate,Full,2.8,"Đường Đinh Tiên Hoàng, Phường 1, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận 6,71,4.7,4,Đông - Nam,Đông - Nam,4,4,3,Have certificate,Basic,6.5,"Đường Tân Hóa, Phường 14, Quận 6, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,4,6,Tây - Bắc,Tây - Bắc,4,4,6,Have certificate,Full,7.45,"Đường 606, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Biệt thự,Huyện Củ Chi,157,6,20,Tây - Nam,Tây - Nam,2,2,1,Have certificate,Basic,4.2,"Đường Bình Mỹ, Xã Bình Mỹ, Huyện Củ Chi, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,56,4,6,Bắc,Bắc,5,5,4,Have certificate,Full,5.2,"Đường Quốc lộ 1A, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,16,Tây - Bắc,Tây - Bắc,3,4,4,Have certificate,Full,9,"Dự án Rio Vista, Đường Dương Đình Hội, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 12,54,4,8,Tây - Nam,Tây - Nam,4,6,5,Have certificate,Basic,6.1,"Đường Thạnh Lộc 19, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
Chung cư,Quận Gò Vấp,32,3.2,10,Nam,Nam,2,2,2,Have certificate,Full,3.38,"Đường Số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận 12,32,5,6,Đông,Đông,3,3,3,Have certificate,Full,2.55,"Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,68,4,4,Bắc,Đông - Bắc,3,3,3,Have certificate,Full,5.5,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Biệt thự,Quận Tân Phú,116,6.3,6,Tây - Nam,Tây - Nam,2,6,2,Have certificate,Basic,9,"Đường Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,45.9,4,6,Đông - Nam,Đông - Nam,3,4,4,Have certificate,Full,8.7,"Đường  Nguyễn Xí, Phường 26, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),66,4,5,Đông - Bắc,Đông - Bắc,1,2,2,Have certificate,Full,3.95,"Đường 606, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,12,Đông - Bắc,Tây - Nam,3,3,3,Have certificate,Full,8.49,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,78,6,7,Tây - Bắc,Tây - Bắc,3,4,5,Have certificate,Full,8.95,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận 12,45,4.5,4,Tây - Nam,Tây - Nam,3,4,2,Have certificate,Basic,3.65,"Đường Tân Thới Hiệp 20, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 7,51.6,4,6,Tây,Tây,2,2,3,Have certificate,Full,5.2,"Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,42.4,8,6,Tây,Tây,4,3,3,Have certificate,Full,6.25,"Đường Tăng Bạt Hổ, Phường 11, Quận Bình Thạnh, Hồ Chí Minh"
Chung cư,Quận Tân Phú,26,3.2,3.5,Đông,Đông,2,2,2,Have certificate,Full,3.3,"Đường Nguyễn Súy, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),52,4.2,5,Đông,Đông,2,2,2,Have certificate,Full,4.9,"Đường Số 32, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),50.8,30,5,Đông - Nam,Đông - Nam,1,2,2,Have certificate,Basic,3.95,"Đường Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 12,55,5,6,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,3.85,"Đường Thạnh Lộc 41, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
Chung cư,Quận Phú Nhuận,38,4,5,Đông - Bắc,Đông - Bắc,4,5,6,Have certificate,Full,7.8,"Đường Thích Quảng Đức, Phường 3, Quận Phú Nhuận, Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,50,4,6,Tây - Bắc,Tây - Bắc,4,4,4,Have certificate,Full,6.2,"Dự án The Sun Residence, Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,44,4,5,Tây - Bắc,Bắc,3,2,2,Have certificate,Full,4.65,"Đường Lê Liễu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,75,5,8,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,5.8,"Đường Bùi Dương Lịch, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,55.5,3.7,5,Đông,Đông,2,2,2,Have certificate,Basic,4.5,"Đường Tên Lửa, Phường An Lạc A, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Tân Bình,45,3.6,6,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Full,7.2,"876/35/60 Đường Cách Mạng Tháng Tám, Phường 5, Quận Tân Bình, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,64,4,7,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Full,4.85,"Đường Vườn Lài, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
Chung cư,Quận 3,35,4,4,Đông,Đông,4,2,3,Have certificate,Full,7.5,"Đường Pasteur, Phường 6, Quận 3, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),57,20,20,Tây - Bắc,Tây - Bắc,1,2,2,Have certificate,Full,2.69,"Dự án Sài Gòn Metro Park, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 4,32.1,5,4,Tây - Nam,Tây - Nam,4,2,3,Have certificate,Basic,3.95,"Đường Tôn Đản, Phường 8, Quận 4, Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,65,4.2,12,Nam,Nam,2,3,2,Have certificate,Full,9.3,"Đường Lê Đình Thám, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Nhà hẻm,Quận 1,48,3,3,Đông - Nam,Đông - Nam,4,5,5,Have certificate,Full,8.6,"Đường Phan Tôn, Phường Đa Kao, Quận 1, Hồ Chí Minh"
Nhà hẻm,Quận 12,48,4,3,Đông - Bắc,Đông - Bắc,2,2,2,Have certificate,Full,3.67,"Đường Nguyễn Thị Kiểu, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 7,40,4,6,Tây,Tây,3,4,3,Have certificate,Basic,5.9,"134 Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh"
Biệt thự,Quận 7,132,4,6,Đông,Đông,1,2,1,Have certificate,Basic,7.5,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,75,6,6,Nam,Nam,3,3,3,Have certificate,Full,5.05,"Đường Tân Thới Nhất 2, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Biệt thự,Huyện Bình Chánh,100,12,12,Tây - Bắc,Tây - Bắc,3,4,4,Have certificate,Basic,8.8,"Dự án Đại Phúc Green Villas, Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh"
Nhà hẻm,Quận 7,50.8,4,3,Đông,Đông,2,2,2,Have certificate,Basic,5.6,"Hẻm 861, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,53.9,9,6,Bắc,Bắc,5,8,8,Have certificate,Basic,7.5,"Đường 8, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Thạnh,69.1,4,4,Đông - Bắc,Đông - Bắc,3,3,4,Have certificate,Full,10,"Đường Nguyễn Trung Trực, Phường 5, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),68,4,7,Nam,Nam,3,4,5,Have certificate,Full,7.9,"Đường 30, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,4.5,8,Tây - Nam,Tây - Nam,1,3,1,Have certificate,Full,6.5,"Đường Số 8, Phường Tăng Nhơn Phú A, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,65,4,4,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Basic,6.5,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận Gò Vấp,24.9,3,3,Bắc,Bắc,2,2,3,Have certificate,Basic,2.75,"488/, Đường Phạm Văn Chiêu, Phường 16, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận Bình Tân,30,5,4,Đông,Đông,2,3,3,Have certificate,Full,1.88,"Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh."
Nhà mặt tiền,Quận Bình Tân,68,4,16,Tây,Tây,3,4,4,Have certificate,Basic,9.5,"Đường Số 36, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận 12,56,4,8,Đông - Bắc,Đông - Bắc,5,4,5,Have certificate,Basic,5.5,"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,53.4,4,4,Đông - Bắc,Đông - Bắc,1,3,2,Have certificate,Basic,4.55,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận 12,30,3.2,3,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Basic,1.75,"Hẻm 470, Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,72,4,8,Tây,Tây,3,4,3,Have certificate,Basic,5.99,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,50,10,5,Đông,Đông,3,3,2,Have certificate,Full,4.5,"Đường Đất Mới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),53.8,4.5,8,Đông - Bắc,Đông,4,3,3,Have certificate,Full,4.7,"Đường 12, Phường Trường Thạnh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),68,4,4,Đông - Nam,Đông - Nam,3,4,5,Have certificate,Full,6.5,"Đường 35, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,40,4,5,Tây,Tây,2,2,2,Have certificate,Full,2.35,"Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),91,6,2,Đông - Nam,Đông - Nam,3,5,4,Have certificate,Basic,4.8,"Đường 13, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,64,4,6,Bắc,Bắc,3,4,4,Have certificate,Full,6.48,"Đường Số 8, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Huyện Bình Chánh,90,6,8,Tây - Bắc,Đông - Nam,3,4,4,Sale contract,Basic,6.9,"Dự án The Meadow Huyện Bình Chánh, Đường Trần Văn Giàu, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh"
Biệt thự,Huyện Hóc Môn,250,8.2,12,Tây,Tây,2,4,4,Have certificate,Full,8.2,"Đường Huỳnh Thị Na, Xã  Đông Thạnh, Huyện Hóc Môn, Hồ Chí Minh"
