Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá,,,,Số phòng tắm,Trình trạng pháp lý,Nội thất,,Address,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),51,4,4,6.7,,,,5,Have certificate,Basic,,"Đường Đinh Thị Thi, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.6,7,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 8,64,4,3,10,,,,4,Have certificate,Full,,"783A, Đường Cao Lỗ, Phường 14, Quận 8, Hồ Chí Minh",4,16,Tây - Bắc,Tây - Bắc
Biệt thự,Quận 9 (TP. Thủ Đức),100,4,3,6.5,,,,5,Have certificate,Basic,,"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",20,12,Bắc,Bắc
Chung cư,Quận 1,30,4,4,6.1,,,,4,Have certificate,Full,,"Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",5,3,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 12,80,3,3,8.8,,,,4,Have certificate,Full,,"Đường Tân Thới Nhất 17, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",5,8,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,58,5,5,6.8,,,,6,Have certificate,Full,,"Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,7,Nam,Nam
Nhà hẻm,Quận Gò Vấp,59,5,3,7.3,,,,5,Have certificate,Basic,,"148//, Đường Số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh",4,6,Tây,Tây
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),40.2,3,3,4.5,,,,2,Have certificate,Full,,"Đường Số 5, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,4,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Huyện Nhà Bè,76,4,4,7.5,,,,5,Have certificate,Full,,"Dự án Sài Gòn Mới, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4,10,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),83,5,2,6.9,,,,5,Have certificate,Basic,,"Thạnh Mỹ Lợi, Số 68, Đường Thạnh Mỹ Lợi, Phường  Thạnh Mỹ Lợi, Quận 2 (TP. Thủ Đức), Hồ Chí Minh",5,3,Nam,Nam
Nhà hẻm,Quận Bình Thạnh,50,5,4,9.3,,,,6,Have certificate,Full,,"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Hồ Chí Minh",4,5,Tây - Bắc,Tây - Bắc
Nhà hẻm,Huyện Hóc Môn,52,2,2,1.68,,,,2,Have certificate,Basic,,"Đường Song Hành, Xã Tân Hiệp, Huyện Hóc Môn, Hồ Chí Minh",4,5,Nam,Nam
Chung cư,Quận 3,29,2,1,3.5,,,,2,Have certificate,Basic,,"Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Hồ Chí Minh",4.6,4,Tây,Tây
Nhà mặt tiền,Quận Gò Vấp,75,3,2,6.5,,,,3,Have certificate,Full,,"Đường Lê Văn Thọ, Phường 16, Quận Gò Vấp, Hồ Chí Minh",4,6,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Tân Bình,59,5,4,10,,,,6,Have certificate,Full,,"254, Đường Âu Cơ, Phường 9, Quận Tân Bình, Hồ Chí Minh",4.6,8,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Gò Vấp,72.5,4,4,7.4,,,,5,Have certificate,Basic,,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh",4,6,Nam,Nam
Biệt thự,Quận 7,102.6,2,1,5.6,,,,2,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh",7,3,Đông,Đông
Nhà hẻm,Quận Gò Vấp,42,3,3,5.6,,,,4,Have certificate,Full,,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Hồ Chí Minh",4.8,4,Đông,Đông
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),100,7,4,9.5,,,,7,Have certificate,Basic,,"Đường 8, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 11,44,6,5,8,,,,4,Have certificate,Full,,"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Phú Nhuận,43,3,4,8.6,,,,4,Have certificate,Full,,"Đường Phan Xích Long, Phường 3, Quận Phú Nhuận, Hồ Chí Minh",4.3,5,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 12,80,4,3,5,,,,4,Have certificate,Full,,"Đường Thạnh Lộc 44, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4,12,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Tân Phú,81.6,2,2,8.5,,,,2,Have certificate,Basic,,"Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh",4.1,12,Bắc,Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),64,2,2,5.2,,,,2,Have certificate,Full,,"Đường Hồ Bá Phấn, Phường Phước Long A, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,6,Bắc,Bắc
Nhà mặt tiền,Quận 7,82.4,4,2,6.35,,,,4,Have certificate,Full,,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",6,4,Tây,Tây
Nhà mặt tiền,Huyện Nhà Bè,84.5,4,4,9.4,,,,5,Have certificate,Full,,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",5,7,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),93,4,2,3.9,,,,3,Have certificate,Full,,"Hẻm số 5, Đường Lò Lu, Phường Trường Thạnh, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",7.8,5,Nam,Nam
Nhà hẻm,Quận Gò Vấp,57.7,4,3,7.49,,,,5,Have certificate,Basic,,"Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Biệt thự,Quận 9 (TP. Thủ Đức),100,2,1,4.6,,,,2,Sale contract,Full,,"Dự án The Beverly Solari  - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",15,30,Nam,Nam
Nhà mặt tiền,Quận Bình Thạnh,64.6,5,4,7,,,,4,Have certificate,Basic,,"Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh",3,10,Bắc,Bắc
Nhà mặt tiền,Huyện Nhà Bè,80,4,4,8.3,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",5.3,6,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),80,3,3,5.3,,,,2,Sale contract,Basic,,"Dự án Sim City, Đường Lò Lu, Phường Trường Thạnh, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",6,6,Đông - Bắc,Đông - Nam
Nhà hẻm,Quận Bình Thạnh,40,2,2,4.35,,,,2,Have certificate,Full,,"Đường D5, Phường 25, Quận Bình Thạnh, Hồ Chí Minh",4,2,Nam,Nam
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),70,4,4,6.8,,,,4,Have certificate,Full,,"Đường Số 48, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,6,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),52,4,1,2.6,,,,4,Have certificate,Basic,,"Phường Linh Xuân, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",3.8,4,Đông - Nam,Đông - Nam
Chung cư,Quận Bình Tân,37,5,3,2.78,,,,3,Have certificate,Full,,"Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",3.7,7,Bắc,Bắc
Nhà hẻm,Quận 7,51,3,2,6.35,,,,2,Have certificate,Full,,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",4,4,Tây - Nam,Tây - Nam
Nhà hẻm,Huyện Hóc Môn,48,2,1,2.05,,,,1,Have certificate,Full,,"Đường Đặng Thúc Vịnh, Xã  Đông Thạnh, Huyện Hóc Môn, Hồ Chí Minh",8,2.5,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),85.7,3,1,8.5,,,,3,Have certificate,Full,,"Đường 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5.4,7,Tây,Tây
Nhà hẻm,Huyện Nhà Bè,55.9,4,4,6.5,,,,5,Have certificate,Full,,"1979, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4.3,6,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),56,4,4,7.3,,,,5,Have certificate,Basic,,"Đường 10, Phường Hiệp Huyện Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 7,56,2,2,5.2,,,,3,Have certificate,Full,,"Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh",4,50,Đông,Đông
Chung cư,Quận 12,25,2,3,2.65,,,,2,Have certificate,Basic,,"Hẻm 103//, Đường Tân Thới Nhất 2, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",3.5,3,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 12,46,4,3,4.45,,,,3,Have certificate,Full,,"Đường Nguyễn Thị Đặng, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",20,5,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Tân Phú,60,4,4,6.3,,,,4,Have certificate,Full,,"Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",5,5,Đông,Đông
Chung cư,Quận Tân Phú,24,2,2,3,,,,2,Have certificate,Basic,,"101/26/, Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",3,4,Nam,Nam
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),89,4,4,8.6,,,,5,Have certificate,Full,,"Đường 8, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5.1,10,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Tân Phú,90,3,1,7.5,,,,2,Have certificate,Basic,,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",5,6,Tây,Tây
Biệt thự,Quận 12,282.7,4,1,9.5,,,,2,Have certificate,Basic,,"Đường Quốc lộ 1A, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",11,50,Bắc,Bắc
Nhà hẻm,Quận Phú Nhuận,44,4,5,10,,,,3,Have certificate,Full,,"Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh",6,4.5,Bắc,Bắc
Nhà hẻm,Quận 12,49.5,4,3,4.65,,,,3,Have certificate,Basic,,"Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4.5,12,Tây - Bắc,Tây - Bắc
Chung cư,Quận Phú Nhuận,22,2,3,3.5,,,,3,Have certificate,Basic,,"Đường Cô Giang, Phường 2, Quận Phú Nhuận, Hồ Chí Minh",2.8,3,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Bình Tân,97,4,4,6.7,,,,5,Have certificate,Full,,"Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",5.2,8,Bắc,Bắc
Nhà hẻm,Quận 12,41.6,2,2,3.38,,,,2,Have certificate,Full,,"Đường Hiệp Thành 17, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",4,4,Bắc,Bắc
Nhà hẻm,Quận Bình Tân,40,3,2,2.48,,,,3,Have certificate,Full,,"Đường Liên Khu 5-6, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",7,7,Đông,Đông
Chung cư,Quận 3,36,5,6,10,,,,4,Have certificate,Full,,"Đường Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",3.6,6,Tây - Nam,Tây - Nam
Chung cư,Quận Phú Nhuận,37,3,4,6.85,,,,3,Have certificate,Full,,"Đường Trần Huy Liệu, Phường 8, Quận Phú Nhuận, Hồ Chí Minh",9,5,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Tân Bình,40,2,2,3.6,,,,2,Have certificate,Full,,"Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, Hồ Chí Minh",8,3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),54.1,4,3,7.2,,,,3,Have certificate,Full,,"Đường Võ Văn Ngân, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",6.25,7,Đông,Đông
Nhà hẻm,Quận Bình Tân,54,4,3,8.3,,,,5,Have certificate,Full,,"Đường 8A, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",4.5,8,Đông,Đông
Nhà hẻm,Quận 12,57,3,3,4.5,,,,3,Have certificate,Basic,,"Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",4.2,6,Đông - Bắc,Đông - Bắc
Chung cư,Quận 12,31,2,2,2.95,,,,2,Have certificate,Full,,"Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",3.2,8,Nam,Nam
Chung cư,Huyện Nhà Bè,32,4,3,3.6,,,,3,Have certificate,Full,,"2174, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4,4,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,53.4,2,2,3.89,,,,2,Have certificate,Basic,,"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,5,Tây - Nam,Tây - Nam
Nhà hẻm,Quận 12,56,4,4,5.85,,,,5,Have certificate,Full,,"Đường Thạnh Lộc 44, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4,10,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Bình Tân,40,5,3,2.68,,,,3,Have certificate,Full,,"Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh.",4,7,Tây,Tây
Nhà hẻm,Quận Gò Vấp,46,4,4,7.99,,,,5,Have certificate,Full,,"Đường Quang Trung, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4.6,6,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Tân Phú,52,2,2,5.6,,,,2,Have certificate,Full,,"Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh",4,5,Đông,Đông
Nhà mặt tiền,Quận 12,67,4,3,5.85,,,,3,Have certificate,Full,,"Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",4,4,Nam,Nam
Chung cư,Quận 9 (TP. Thủ Đức),36,2,2,2.65,,,,2,Have certificate,Full,,"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",3,3,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Tân Phú,58,2,2,7.8,,,,2,Have certificate,Full,,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",4.8,8,Đông - Nam,Đông - Nam
Chung cư,Quận Bình Thạnh,25,2,4,2.8,,,,2,Have certificate,Full,,"Đường Đinh Tiên Hoàng, Phường 1, Quận Bình Thạnh, Hồ Chí Minh",1.5,2,Bắc,Bắc
Nhà mặt tiền,Quận 6,71,4,4,6.5,,,,3,Have certificate,Basic,,"Đường Tân Hóa, Phường 14, Quận 6, Hồ Chí Minh",4.7,4,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,4,4,7.45,,,,6,Have certificate,Full,,"Đường 606, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Biệt thự,Huyện Củ Chi,157,2,2,4.2,,,,1,Have certificate,Basic,,"Đường Bình Mỹ, Xã Bình Mỹ, Huyện Củ Chi, Hồ Chí Minh",6,20,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Bình Tân,56,5,5,5.2,,,,4,Have certificate,Full,,"Đường Quốc lộ 1A, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",4,6,Bắc,Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,4,3,9,,,,4,Have certificate,Full,,"Dự án Rio Vista, Đường Dương Đình Hội, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,16,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận 12,54,6,4,6.1,,,,5,Have certificate,Basic,,"Đường Thạnh Lộc 19, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4,8,Tây - Nam,Tây - Nam
Chung cư,Quận Gò Vấp,32,2,2,3.38,,,,2,Have certificate,Full,,"Đường Số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh",3.2,10,Nam,Nam
Chung cư,Quận 12,32,3,3,2.55,,,,3,Have certificate,Full,,"Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",5,6,Đông,Đông
Nhà mặt tiền,Huyện Nhà Bè,68,3,3,5.5,,,,3,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4,4,Bắc,Đông - Bắc
Biệt thự,Quận Tân Phú,116,6,2,9,,,,2,Have certificate,Basic,,"Đường Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",6.3,6,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Bình Thạnh,45.9,4,3,8.7,,,,4,Have certificate,Full,,"Đường  Nguyễn Xí, Phường 26, Quận Bình Thạnh, Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),66,2,1,3.95,,,,2,Have certificate,Full,,"Đường 606, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,5,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,3,3,8.49,,,,3,Have certificate,Full,,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Đông - Bắc,Tây - Nam
Nhà mặt tiền,Quận Gò Vấp,78,4,3,8.95,,,,5,Have certificate,Full,,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh",6,7,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận 12,45,4,3,3.65,,,,2,Have certificate,Basic,,"Đường Tân Thới Hiệp 20, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",4.5,4,Tây - Nam,Tây - Nam
Nhà hẻm,Quận 7,51.6,2,2,5.2,,,,3,Have certificate,Full,,"Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh",4,6,Tây,Tây
Nhà hẻm,Quận Bình Thạnh,42.4,3,4,6.25,,,,3,Have certificate,Full,,"Đường Tăng Bạt Hổ, Phường 11, Quận Bình Thạnh, Hồ Chí Minh",8,6,Tây,Tây
Chung cư,Quận Tân Phú,26,2,2,3.3,,,,2,Have certificate,Full,,"Đường Nguyễn Súy, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",3.2,3.5,Đông,Đông
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),52,2,2,4.9,,,,2,Have certificate,Full,,"Đường Số 32, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.2,5,Đông,Đông
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),50.8,2,1,3.95,,,,2,Have certificate,Basic,,"Đường Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",30,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,55,2,2,3.85,,,,2,Have certificate,Full,,"Đường Thạnh Lộc 41, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",5,6,Tây - Nam,Tây - Nam
Chung cư,Quận Phú Nhuận,38,5,4,7.8,,,,6,Have certificate,Full,,"Đường Thích Quảng Đức, Phường 3, Quận Phú Nhuận, Hồ Chí Minh",4,5,Đông - Bắc,Đông - Bắc
Nhà hẻm,Huyện Nhà Bè,50,4,4,6.2,,,,4,Have certificate,Full,,"Dự án The Sun Residence, Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Tân Phú,44,2,3,4.65,,,,2,Have certificate,Full,,"Đường Lê Liễu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",4,5,Tây - Bắc,Bắc
Nhà mặt tiền,Quận Bình Tân,75,2,2,5.8,,,,2,Have certificate,Full,,"Đường Bùi Dương Lịch, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",5,8,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Bình Tân,55.5,2,2,4.5,,,,2,Have certificate,Basic,,"Đường Tên Lửa, Phường An Lạc A, Quận Bình Tân, Hồ Chí Minh",3.7,5,Đông,Đông
Nhà hẻm,Quận Tân Bình,45,2,2,7.2,,,,2,Have certificate,Full,,"876/35/60 Đường Cách Mạng Tháng Tám, Phường 5, Quận Tân Bình, Hồ Chí Minh",3.6,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 12,64,3,3,4.85,,,,3,Have certificate,Full,,"Đường Vườn Lài, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",4,7,Đông - Bắc,Đông - Bắc
Chung cư,Quận 3,35,2,4,7.5,,,,3,Have certificate,Full,,"Đường Pasteur, Phường 6, Quận 3, Hồ Chí Minh",4,4,Đông,Đông
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),57,2,1,2.69,,,,2,Have certificate,Full,,"Dự án Sài Gòn Metro Park, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",20,20,Tây - Bắc,Tây - Bắc
Chung cư,Quận 4,32.1,2,4,3.95,,,,3,Have certificate,Basic,,"Đường Tôn Đản, Phường 8, Quận 4, Hồ Chí Minh",5,4,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Tân Phú,65,3,2,9.3,,,,2,Have certificate,Full,,"Đường Lê Đình Thám, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",4.2,12,Nam,Nam
Nhà hẻm,Quận 1,48,5,4,8.6,,,,5,Have certificate,Full,,"Đường Phan Tôn, Phường Đa Kao, Quận 1, Hồ Chí Minh",3,3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,48,2,2,3.67,,,,2,Have certificate,Full,,"Đường Nguyễn Thị Kiểu, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",4,3,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 7,40,4,3,5.9,,,,3,Have certificate,Basic,,"134 Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh",4,6,Tây,Tây
Biệt thự,Quận 7,132,2,1,7.5,,,,1,Have certificate,Basic,,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",4,6,Đông,Đông
Nhà mặt tiền,Quận 12,75,3,3,5.05,,,,3,Have certificate,Full,,"Đường Tân Thới Nhất 2, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",6,6,Nam,Nam
Biệt thự,Huyện Bình Chánh,100,4,3,8.8,,,,4,Have certificate,Basic,,"Dự án Đại Phúc Green Villas, Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh",12,12,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận 7,50.8,2,2,5.6,,,,2,Have certificate,Basic,,"Hẻm 861, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",4,3,Đông,Đông
Nhà hẻm,Quận Bình Tân,53.9,8,5,7.5,,,,8,Have certificate,Basic,,"Đường 8, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",9,6,Bắc,Bắc
Nhà mặt tiền,Quận Bình Thạnh,69.1,3,3,10,,,,4,Have certificate,Full,,"Đường Nguyễn Trung Trực, Phường 5, Quận Bình Thạnh, Hồ Chí Minh",4,4,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),68,4,3,7.9,,,,5,Have certificate,Full,,"Đường 30, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,7,Nam,Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,3,1,6.5,,,,1,Have certificate,Full,,"Đường Số 8, Phường Tăng Nhơn Phú A, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",4.5,8,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Gò Vấp,65,3,3,6.5,,,,3,Have certificate,Basic,,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh",4,4,Đông - Nam,Đông - Nam
Chung cư,Quận Gò Vấp,24.9,2,2,2.75,,,,3,Have certificate,Basic,,"488/, Đường Phạm Văn Chiêu, Phường 16, Quận Gò Vấp, Hồ Chí Minh",3,3,Bắc,Bắc
Chung cư,Quận Bình Tân,30,3,2,1.88,,,,3,Have certificate,Full,,"Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh.",5,4,Đông,Đông
Nhà mặt tiền,Quận Bình Tân,68,4,3,9.5,,,,4,Have certificate,Basic,,"Đường Số 36, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",4,16,Tây,Tây
Nhà hẻm,Quận 12,56,4,5,5.5,,,,5,Have certificate,Basic,,"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,8,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Gò Vấp,53.4,3,1,4.55,,,,2,Have certificate,Basic,,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh",4,4,Đông - Bắc,Đông - Bắc
Chung cư,Quận 12,30,3,3,1.75,,,,3,Have certificate,Basic,,"Hẻm 470, Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh",3.2,3,Đông - Bắc,Đông - Bắc
